Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,DateTime,Year,Month,Hour,Weekday,Delay Category
Wednesday,BATHURST STATION,MUSAN,5,9,E,BD,5227,2025-01-01 02:10:00,2025,1,2,Wednesday,Small
Wednesday,DUNDAS STATION,MUIRS,0,0,Unknown,YU,0,2025-01-01 02:30:00,2025,1,2,Wednesday,No Delay
Wednesday,BROADVIEW STATION,PUMST,0,0,E,BD,0,2025-01-01 02:32:00,2025,1,2,Wednesday,No Delay
Wednesday,KEELE STATION,EUSC,0,0,W,BD,5293,2025-01-01 02:58:00,2025,1,2,Wednesday,No Delay
Wednesday,COXWELL STATION,SUAE,0,0,Unknown,BD,0,2025-01-01 02:58:00,2025,1,2,Wednesday,No Delay
Wednesday,DONLANDS STATION,TUNOA,5,10,W,BD,5000,2025-01-01 07:59:00,2025,1,7,Wednesday,Small
Wednesday,BLOOR STATION,PUTR,9,0,S,YU,5836,2025-01-01 08:13:00,2025,1,8,Wednesday,Medium
Wednesday,BLOOR STATION,PUTR,5,0,N,YU,5706,2025-01-01 08:15:00,2025,1,8,Wednesday,Small
Wednesday,FINCH STATION,SUDP,0,0,S,YU,5596,2025-01-01 09:14:00,2025,1,9,Wednesday,No Delay
Wednesday,BATHURST STATION,SUUT,0,0,E,BD,5312,2025-01-01 09:22:00,2025,1,9,Wednesday,No Delay
Wednesday,WILSON STATION,MUIS,0,0,Unknown,YU,0,2025-01-01 09:58:00,2025,1,9,Wednesday,No Delay
Wednesday,KENNEDY BD STATION,TUSC,0,0,E,BD,5253,2025-01-01 10:08:00,2025,1,10,Wednesday,No Delay
Wednesday,VAUGHAN MC STATION,MUO,4,8,S,YU,5706,2025-01-01 12:56:00,2025,1,12,Wednesday,Small
Wednesday,ST GEORGE BD STATION,SUUT,0,0,E,BD,5253,2025-01-01 13:11:00,2025,1,13,Wednesday,No Delay
Wednesday,OSGOODE STATION,SUUT,0,0,N,YU,0,2025-01-01 13:34:00,2025,1,13,Wednesday,No Delay
Wednesday,COLLEGE STATION,MUPAA,3,7,N,YU,5606,2025-01-01 13:44:00,2025,1,13,Wednesday,Small
Wednesday,QUEEN'S PARK STATION,MUPAA,0,0,S,YU,5736,2025-01-01 14:09:00,2025,1,14,Wednesday,No Delay
Wednesday,WELLESLEY STATION,SUAE,0,0,S,YU,5701,2025-01-01 14:46:00,2025,1,14,Wednesday,No Delay
Wednesday,ST PATRICK STATION,MUPAA,5,9,N,YU,5601,2025-01-01 14:56:00,2025,1,14,Wednesday,Small
Wednesday,FINCH STATION,MUPLC,0,0,Unknown,YU,0,2025-01-01 15:07:00,2025,1,15,Wednesday,No Delay
Wednesday,ST GEORGE YUS STATION,SUDP,4,8,S,YU,6111,2025-01-01 15:14:00,2025,1,15,Wednesday,Small
Wednesday,RUNNYMEDE STATION,MUSAN,4,8,W,BD,5303,2025-01-01 16:04:00,2025,1,16,Wednesday,Small
Wednesday,WILSON STATION,MUIS,0,0,Unknown,YU,0,2025-01-01 16:04:00,2025,1,16,Wednesday,No Delay
Wednesday,KIPLING STATION,MUSAN,4,8,W,BD,5303,2025-01-01 16:21:00,2025,1,16,Wednesday,Small
Wednesday,FINCH STATION,PUOPO,0,0,S,YU,5686,2025-01-01 16:34:00,2025,1,16,Wednesday,No Delay
Wednesday,YORK MILLS STATION,PUOPO,12,16,S,YU,5686,2025-01-01 16:42:00,2025,1,16,Wednesday,Medium
Wednesday,KING STATION,MUNCA,0,0,Unknown,YU,0,2025-01-01 17:00:00,2025,1,17,Wednesday,No Delay
Wednesday,SHEPPARD WEST STATION,MUTO,3,7,S,YU,6031,2025-01-01 17:07:00,2025,1,17,Wednesday,Small
Wednesday,COLLEGE STATION,SUUT,0,0,N,YU,5941,2025-01-01 17:28:00,2025,1,17,Wednesday,No Delay
Wednesday,DUNDAS STATION,MUPAA,5,9,N,YU,5821,2025-01-01 17:37:00,2025,1,17,Wednesday,Small
Wednesday,ISLINGTON STATION,TUSC,0,0,W,BD,5023,2025-01-01 17:44:00,2025,1,17,Wednesday,No Delay
Wednesday,VAUGHAN MC STATION,MUIS,0,0,Unknown,YU,0,2025-01-01 17:47:00,2025,1,17,Wednesday,No Delay
Wednesday,CASTLE FRANK STATION,PUSTC,4,8,E,BD,5240,2025-01-01 17:49:00,2025,1,17,Wednesday,Small
Wednesday,YONGE BD STATION,MUIE,9,13,E,BD,5353,2025-01-01 18:18:00,2025,1,18,Wednesday,Medium
Wednesday,FINCH WEST STATION,EUO,6,12,S,YU,6041,2025-01-01 18:21:00,2025,1,18,Wednesday,Medium
Wednesday,WELLESLEY STATION,SUEAS,7,12,N,YU,5446,2025-01-01 19:09:00,2025,1,19,Wednesday,Medium
Wednesday,DUNDAS WEST STATION,TUMVS,3,8,W,BD,5023,2025-01-01 19:13:00,2025,1,19,Wednesday,Small
Wednesday,COXWELL STATION,PUMEL,0,0,Unknown,BD,0,2025-01-01 19:35:00,2025,1,19,Wednesday,No Delay
Wednesday,FINCH STATION,TUNOA,6,12,S,YU,5551,2025-01-01 21:05:00,2025,1,21,Wednesday,Medium
Wednesday,EGLINTON WEST STATION,SUO,0,0,Unknown,YU,0,2025-01-01 21:51:00,2025,1,21,Wednesday,No Delay
Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,Unknown,YU/BD,0,2025-01-01 22:00:00,2025,1,22,Wednesday,No Delay
Wednesday,BROADVIEW STATION,MUIRS,0,0,E,BD,5041,2025-01-01 22:35:00,2025,1,22,Wednesday,No Delay
Wednesday,COXWELL STATION,MUIS,0,0,Unknown,BD,0,2025-01-01 23:40:00,2025,1,23,Wednesday,No Delay
Wednesday,ROSEDALE STATION,MUIRS,0,0,S,YU,5721,2025-01-01 00:27:00,2025,1,0,Wednesday,No Delay
Wednesday,KENNEDY BD STATION,MUIS,0,0,Unknown,BD,0,2025-01-01 00:40:00,2025,1,0,Wednesday,No Delay
Wednesday,WELLESLEY STATION,SUO,0,0,N,YU,5666,2025-01-01 00:50:00,2025,1,0,Wednesday,No Delay
Wednesday,EGLINTON STATION,MUPAA,3,9,N,YU,5606,2025-01-01 01:16:00,2025,1,1,Wednesday,Small
Wednesday,SHEPPARD WEST STATION,MUI,0,0,S,YU,5726,2025-01-01 01:38:00,2025,1,1,Wednesday,No Delay
Wednesday,KIPLING STATION,MUIS,0,0,Unknown,BD,0,2025-01-01 01:46:00,2025,1,1,Wednesday,No Delay
Wednesday,KIPLING STATION,SUDP,0,0,Unknown,BD,0,2025-01-01 01:52:00,2025,1,1,Wednesday,No Delay
Thursday,VAUGHAN MC STATION,MUIS,0,0,Unknown,YU,0,2025-01-02 02:05:00,2025,1,2,Thursday,No Delay
Thursday,BAY STATION,MUNCA,0,0,Unknown,BD,0,2025-01-02 05:20:00,2025,1,5,Thursday,No Delay
Thursday,DUFFERIN STATION,MUNCA,0,0,Unknown,BD,0,2025-01-02 05:25:00,2025,1,5,Thursday,No Delay
Thursday,CHRISTIE STATION,MUNCA,0,0,Unknown,BD,0,2025-01-02 05:30:00,2025,1,5,Thursday,No Delay
